小鑫同学,期待课程参考资料---[数据结构与算法Python-中文版-内部教材](https://gis4g.pku.edu.cn/download/sessdsa-textbook/)对应参考教材页面打不开啊，可以解决一下最好.,5.0
hu-qiu-yu,课程网站地址：http://gis4g.pku.edu.cn/course/pythonds/网易会把http协议变成https协议，导致网页打不开，所有打不开的网址你都可以改一下协议试一试。,5.0
strawbest,陈教授出品，必属精品，未看先赞！,5.0
谢菲尔德数据科学龚子轩,太喜欢陈教授上的课了，深入浅出，非常详细。,5.0
笏琴ykt1521456884546,虽然没开课，但我一直很期待要一个python版的数据结构和算法，还是陈教授的，肯定很赞！,5.0
绝恋灬唯嗳,希望自己能够坚持学下去！,5.0
醉少,结合基础课的知识，基本上可以对一些实际问题做出高效率，时间复杂度比较满意的算法了,5.0
伯夏mooc,一直在等待,5.0
suauthor,讲得太好了，容易理解！,5.0
tlt15,非常棒！！！,5.0
Yuzhen于震,很喜欢陈老师的课程,5.0
wyq1810307305,非常棒，值得推荐,5.0
陶佰,赞一个，这种无私的精神值得我们学习！,5.0
python_basic_bird,可以跟上~,5.0
人沐柳叶雨,第一章听得不是很明白，也没弄太明白说的是什么，往下听一听再说,3.0
你用唇语说爱情mooc,对于有一定基础的人来说，干货多一点会更好,3.0
枫糖喵,零基础医学生强行跟课，能跟多少跟多少吧hhh,5.0
zya,用自己理解，用自己的语言讲非常好,5.0
蔡云龙,学而不思则罔，思而不学则殆,5.0
人类起源,讲解生动有趣，含金量又足，好课,5.0
mooc1535963559540,感觉老师的ppt做的非常漂亮，基本把讲的内容都罗列了出来。,5.0
mooc82783000299386571,让我对python语言有了更深一步的认识,4.0
deskok163com,期待更精彩！,5.0
唱着歌的鸢尾花,就是陈斌老师的脑残粉，不接受任何反驳，太有趣的一个老师啦～,5.0
mooc40275447945052739,从2018等待到2019，终于等到了市面上唯一的Python版数据结构。相比枯燥、难以找到实际用途的C语言数据结构，期待北京大学的Python版数据结构能够超出大家的预期！,5.0
mooc91424389831418380,讲得非常好，深入浅出，赞！！,5.0
mooc70808692391842052,老师讲的很好，很细腻,5.0
紫罗兰下的樱花雨,告诉我们数据结构是干什么呢？然后实现数据结构所用的算法用什么样的规则来实现介绍了很多实现算法的原理很nice。,5.0
HNU201618050617刘思成,老师讲的很好,5.0
kongchun,很好，第一次见到数据结构与算法python的课。,5.0
海78,对问题和概念的讲解比较到位，而且易于理解。,5.0
由头嚟过,曾在其他网址看过陈老师的数算课，讲得非常好！期待此次开课！,5.0
zjxiongykt1465217910193,非常非常期待！！！,5.0
mooc1060095956186338,非常的期待(o^^o),5.0
transformer霸天虎,希望能学有所成,5.0
小妮mooc29,想问一下这个慕课配哪个版本的教材合适，比如裘宗燕编写的那版可以吗？,5.0
17二学位_53_刘宜衡,来搞清楚，不同语言的数据结构的区别。陈老师出品，质量有保障,5.0
巨象_鹿,大纲看起来很烧脑,5.0
伍小帅,期待良久。,5.0
