慕仔8245428,简洁易懂 适合初学者 很不错,10分
夜木凝冰,课程讲的很好，内容也很生动形象,10分
yhty,满意哦，对c语言的知识又有了新的认识,10分
laogama666,课程讲的非常好，每个知识点都很充分的进行了解释，代码速度很快，授课人的经验也是十分的丰富,10分
白腿小隼熊猫鸟,讲课水平很高，看得出来准备很充分，思路很清晰，对基本代码相当熟悉，例子也直观、易懂，整个课程收获很大！谢谢！,10分
逆风枫韵,简洁易懂，逻辑清晰，帮助很大。,10分
是小博的啊,真的挺不错的，弄懂了好多知识点，大爱！！！,10分
Flyertutor,不错的教程，给个赞。,10分
你们不要学了我跟不上了,简洁易懂，逻辑清晰，帮助很大。,10分
okkok,this one is super!,10分
qq_Fansfans_0,内容详实，不过学的时候还是需要书本的帮助,8分
慕九州5552665,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,8分
黑猫警长的维尼,老师从基本的原理切入 让同学们了解原理可以触类旁通,8分
可乐猫,简洁易懂，逻辑清晰，帮助很大。,10分
飘渺的离,老师讲的很好，学会了很多神奇的知识点，但是对于结构体指针，我觉得感觉意犹未尽。,10分
瑜伽兔子,简洁易懂，逻辑清晰，帮助很大。,10分
慕粉3468987,简洁易懂，逻辑清晰，帮助很大。,10分
龙猫12345,终于明白了，很不错课程,10分
Ethereal_Eternal,虽然有点难，但是帮助很大,10分
宽容囖,简单易懂，不错，很喜欢，希望有更多的课程,10分
chrycoder,链表那里有帮助 讲的简单明了,10分
Loyt,非常好,希望老师可以出更多的视频.,10分
huaerduiwoxiao,很有帮助，希望退出更多的课程,10分
qq_ChauncyHe_0,keyi,10分
False_Oscar,谢谢！！！,10分
Schwarzeni,nice,10分
DreamMaker256,,10分
么叔你变了,,10分
道冲弗盈,感谢,10分
XhstormR,,10分
orzany,非常好,10分
一只_废喵,讲述很清晰，但是内容比较浅，推荐给新手学习,10分
市民高女士的小女儿,,10分
慕粉3310091,,8分
遥远的遥,可以啊呢，不错，挺喜欢，将的不错,10分
qq_心灵有约_0,非常好,10分
jishuzcn,very good 欸 安卓现在真的不好找工作了 努力了这么久感觉还是心凉啊,10分
坚持2016,不错,10分
dada5454,,10分
小辉辉学编程,讲解了结构体的部分很不错,10分
weibo_cohenyee_0,,10分
慕工程5467035,言简意赅 很好的入门视频 谢谢,10分
小小帅帅,argc来统计参个数，argv来存储参数具体的值,10分
qq_勿莣惢咹_0,不错，入门的,10分
sniperkang,思路清晰，赞赞赞！！！,10分
knevlvns,,10分
wrongcode,,10分
qq_Fay_0,逻辑清新 通俗易懂 内容充实,10分
qq_fewf015,比较基础，快速过了一下,8分
天涯明月笙,讲的很好，很详细，把复杂的内容形象化，很具体，思路也很清晰，希望能出更多的相关课程，感谢你的讲解,8分
爱飞翔的小猪,讲的很好，很详细，把复杂的内容形象化，很具体，思路也很清晰，希望能出更多的相关课程，感谢你的讲解,10分
雪莉酱,,10分
蜂之谷,,10分
phploger,讲得非常好，希望出更多的相关教程。,10分
cikewang,课程思路清晰,非常好,8分
zhuwei6031,老师的普通话不错，不过内容比较基础，看得很快。,10分
DA学生出世,总的来说 很赞
就是到了后面有点枯燥,10分
晚唱,很好啊！,10分
慕粉4000715,,10分
天上有云,课程思路清晰，老师的普通话很标准，二甲应该有了。好评,10分
自由的气息,,10分
娱乐局,不错,10分
不会伤心的国度,精炼实用,10分
qq_xxx_28,666,10分
井水深,可以，就是简短了一点，期待更新,8分
qq_来自地球的我_0,终于又找到了学习的乐趣！,10分
陵辉,,10分
i文Vin,,10分
暮月,,10分
三十二应遍尘刹,,10分
Anna520,666,10分
慕粉3913390,,10分
CX猿,老师讲的很好，思路清晰易懂！,10分
西兰花伟大炮,开学了咯，继续逛慕课,10分
破晓5,,10分
流觞曲水无多日,,10分
weibo_霍huo酱_03769845,清楚简洁,10分
慕粉1629155817,,10分
慢小声,,10分
成长是一种蜕变,讲得很好！,10分
davidhold,赞一个,10分
qq_胖胖中式小笼包_03672702,老师讲得很不错，很多专业术语都很准确精炼，但感觉就没那么生动了,10分
super哈哈,结构体，预编译都是挺好的知识，老师讲解很好，希望老师多多出一些课程。,10分
噗_嗤,还不错,8分
John_Skeet,很棒哦,10分
小糊涂_大明白,,4分
梦在彼方,,10分
qq_saygoodbye_54398061,动态链表讲的有点少，智商捉急的我。。。,10分
Jathy,,10分
不思jo,受益匪浅,10分
CR7罗,老师讲的知识浅显易懂，很不错,8分
Moncle,老师讲得挺好的。,10分
纯爱枫若情,老师的声音很洪亮，跟播音员一样,10分
流年丶岁月,,10分
lp_doe,,10分
skldhaj4353820,,10分
無明士,,10分
一条被晒干的咸鱼,,10分
发飙的土豆,,10分
夜行水寒,雷哥的声音就是洪亮  谢谢雷哥，谢谢慕课,10分
Ashley_C,,10分
沧海8,,8分
lklknhm,,10分
suuhui,,10分
_夕晨踏雪,老师讲的很好，思路清晰易懂，就是最后半部分内容稍浅，不适合放在这里。不过讲真，还是非常满意的。,10分
汉江怪人,,10分
我不奢求什么,,10分
Comsmelo,有了结构体就可以谢谢链表什么的啦，像电话本的应用,10分
dky,,10分
meredith233,,10分
FreeLoop_zhouhan,讲得不错啊 赞,10分
果爱上了然,雷老师 讲的不错简介易懂在windows系统中一样操作很好,10分
ronaldoBIG_123,very well,10分
JustWannaHugU,这讲师很优秀哦~！,10分
昆昆思密达,还行,6分
悦溪,,10分
Danwie,讲解很清楚，老师说话很有力量,10分
噼喱啪啦,挺不错的,讲得通俗易懂,从不拖泥带水,配合我自己的课本,能让我学很轻松。,10分
qq__48603791467,讲得挺不错的，要多练才行,10分
qq_日耳MAN_03352408,可以的,10分
影子骑士,,10分
霏梧,真的有学到东西,10分
林光光,很精辟，很受用,10分
何忘初,讲的很好,10分
Quantum_C,讲的还是不错，希望多加点实际应用的东西,10分
慕粉3491951,,10分
Aorigel,good!,8分
丨丶Curtain,,10分
EdgarX,讲了很多以前没留意的东西。,10分
小_弓亘长,很好,10分
笑看人生3668836,,10分
稻草人leo,老师讲的很好，期待深入学习课程,10分
Feater,原先用pad看的，又重新看了一遍，很好撒,10分
慕粉3616930,讲的比较简洁，虽不是面面俱全，但却介绍了最基本的概念，通俗易懂,8分
DCLouis,,10分
两年能做什么,讲的很好，简单易懂，逻辑清晰,8分
Wizey,讲的挺好的，就是想听更多实战的例子，如果有些实际的项目就好了,10分
眼前的黑不是黑zz,很不错 看一遍基本都懂了，每次重新看，都能加深理解,10分
小河马么么哒,很实用,10分
木柘,内容稍微有些粗略。,10分
深蓝海盗旗,,10分
才下眉头却上我心头,简单易懂，,10分
_笨_,赞,10分
白驿,,10分
_狂奔的蜗牛,十个赞,10分
一度onetems,内容充实，简单易懂,10分
慕粉3187274,,10分
Qin_12,,10分
搭上最后一班车,共用体和结构体大小计算是最受益的。,10分
笑看风云012,讲的清晰明了有重点，适合有点基础的来听，很好,10分
Kian_,可以哒,10分
马桶里泡面,总体来说还不错，,8分
mubiale,调理很清楚～,10分
qq_85度C_03188551,可以的，适合初学者,10分
CoCoXxX,,10分
Hackerwpf,还不错,10分
小黄人Airs,还不错,10分
狼女,,10分
cong0dao1,,10分
无限笑,标记一下。。,10分
Danger丶姚,感觉又复习了一次，不过又学到了新的东西，讲得挺好的！,8分
赛雷feng,我给这个老师82分，剩下的18分以666的形式给他,10分
weibo_慕容2566259,讲的不错，期待后续课程,10分
sunshinesunshine,,10分
浮生亦无常,,10分
Mister丶X,good,8分
reggie,,10分
qq_半世琉璃只为蓝颜倾城_1,很不错，温故而知新,10分
kcuf,,10分
PSYWAVEX,,8分
三岁半,很喜欢这个课,10分
小晏,,10分
下雨看世界,精炼的知识结构,拿来回顾在合适不过了,10分
s55xx,不错啊，对入门很有帮助,10分
无敌的小AI,内容不多，但是很精炼,10分
Cphayim,,10分
SimonZhao0,,10分
张土土,,8分
404Error,,10分
_dark,讲的挺好的,10分
Nurxat,教程做的非常棒，如果有可下载的源文件就完美了,8分
sunnight,,10分
乔小朝,老师讲的很棒，需要自己仔细琢磨消化，并且加紧练习！～～,10分
D__C,,10分
用户5294514895,,10分
finalObject,,10分
Deny_小田,有点儿失望！,6分
kuailerenshe,不错,8分
丶旧时光,我觉得非常不错呢，就是链表部分有点粗略，其他都还好,10分
锦衣当夜行,不是收获太大吧，预处理，结构体，共用体好简略，然后是位运算本来抱有特别的期望，看完了失望了。,8分
乱舞的旋律,不错,10分
潜龙在天,,10分
日月盈昃,,10分
steamheroes,,10分
DKSky,逻辑很清楚,8分
qq_恒,,10分
hlzhan,,10分
陈浩ch,非常好,10分
a爱it,啥也别说了；,8分
ThinkingFlight,上课语言明快简洁，好！！,10分
