霜花似雪,将的很好，跟着敲了代码，感谢老师的分享,10分
在水中飞,讲的很好啊，为什么那么多人乱评分？,10分
慕容7274906,讲的非常好，不像很多课程都是把一些基础知识翻来覆去的说，bobby老师的课程更多是引导怎么去理解，实现原理是什么，决定购买老师付费课程继续学习，支持老师,10分
宝山方圆,讲的非常好，使用上有了更好的选择,10分
陈大隐,还不错，对一些python数据结构有了更加深刻的了解,10分
云技术,bobby老师的课一般都是良心制作,10分
Youda,都看看，了解得多，用到的时候就知道怎么选择了,10分
Wesley_Yang,增加了新的知识点，听一下不错的。,8分
瑜伽兔子,讲的很好,通俗易懂。,10分
解空居士,讲的很好,通俗易懂。,8分
萤火虫之夏,感谢bobby老师分享，讲得很清晰，很深入，nice,8分
Caliburn_c,思路非常清晰，收获很多，感谢分享！尽管平时大部分时间都在用numpy array和DataFrame, 了解下原生数据结构也挺好的,10分
慕UI5348840,讲道理，您的付费课程也很一般，讲得太粗糙了，很多都需要自己再去查文档，这样的话不知道购买课程的意义何在,4分
Kakarrot,很快听了一遍 回去看文档,10分
R_Ju,講解詳細、清晰，很好，很實用，謝謝老師！,10分
慕田峪3276685,bobby老师还是一如既往的👍,8分
KeithTt,好棒，通俗易懂，脉络清晰，感谢老师！！！,10分
ali是个小太阳,很好！希望多出教程！老师，辛苦了！,10分
木易楊__,那个网名叫：呼噜噜噜噜噜噜噜 你是来搞笑的吗？？明明讲得让人很容易明白。自己没有基础怪老师，还要意思说自己用过。,10分
天涯明月笙,bobby老师的良心免费课程，一直跟着您一起学python，收获多多，感谢bobby老师，老师辛苦了。,10分
呼噜噜噜噜噜噜噜,能够把一个非常简单的东西介绍成得那么复杂，连我这个用过的都听不懂，难怪大家都给低分了；
麻烦以后能否先介绍对应模块类 / 函数 / 方法 的功能，做一个示例，然后再慢慢探索？直接探索谁看得懂？！！！！浪费了多少时间？？？？能否关心下用户体验？,4分
坚持2016,不错,8分
慕神414720,,10分
strawIce,好,10分
明日之春,大有收获,10分
qq_知秋一叶_1,通俗易懂，很细心，很nice,4分
Damon_hmz,,10分
边城__Allen,bobby 就是流弊,10分
愛到放肆,,6分
KoiSato,,10分
慕粉40142509,讲的很好,10分
_dark,,10分
慕后端9049590,GOOD,10分
蜗牛__,,10分
zsdostar,刚看了前几节，干货满满。
除了collections的使用外，还包括了许多Pythonic的小技巧，比如第三节对*args和**kwargs的讲解。,10分
