瑜伽兔子,redis知识讲的很好，非常适合入门，值得学习,10分
Jochloe,适合入门，简单易懂~,10分
Damon_hmz,redis知识讲的很好，非常适合入门，值得学习,10分
itachy,支持一下    共勉,10分
勇无止境,redis知识讲的很好，非常适合入门，值得学习,10分
等待是我错失的机会,基础教学，很不错哦。。。,10分
慕仰mooc,Redis的入门学习,8分
jijinduoduo,学完后买服务器线上开发测试，300多一年挺划算。阿里云送2000红包：https://promotion.aliyun.com/ntms/yunparter/invite.html?userCode=tx9f3oyz,10分
初小鱼,暗号：小撒旦法撒旦说的,10分
Irving_yang,简单 明了  清晰。,10分
红帽哥布林,老师课讲得清晰明了，一句废话都没有，就服这老师！赞！,6分
qq_demo_5,谢谢老师，您辛苦了。,10分
sensexia,适合入门学习，很不错的。,10分
华贤,很实用，很基础的教程；很感谢,10分
灿烂满天星,非常实用基础的课程，感谢,10分
愿者__上钩,非常适合入门者，b'c'b'c'bbc,8分
热血洒青春,非常适合入门的同学！,10分
qq_剪雨_0,挺好的，谢谢老师啦啦啦啦啦,10分
我还会怀念过去,学习了，非常感谢您！,10分
一直写下去,还阔以，初级入门可以的,10分
绿静風,谢谢老师，您辛苦了^_^,8分
未来可期V,还可以，让我对Redis有基本的了解，推荐大家如果学完这个课程后到实验楼去学一下Redis的基础课程，是免费的，但是可以自己动手实践一下可能效果更好。,10分
慕粉2042499799,很棒的课程，简单易懂,10分
慕尼黑6279718,内容实用, 简洁易懂, 逻辑清晰,10分
晚安sp,挺好的简单易懂，加油啊,10分
ali是个小太阳,很好，希望多出教程！,10分
凌枫_PHP,对Redis入门是一个很棒的课程，简单易懂,10分
L_MES,有用的也就扩展的地方，其他的看看手册就可以了。。,8分
fivepenny,入门很不错，感谢分享,10分
Aklman丶,理论知识讲的特别好，我早学过Redis，只是想补充点基础知识点来着，听完这个课收获满满，开心，让我更自信了，有点简单，找有关提高课程继续学习才可以，感谢老师,10分
小重山山232673,通俗易懂，都是基础的东西,8分
rubyc,感谢老师,10分
全线进化,介绍的很清楚，谢谢,8分
坚持2016,不错,10分
icefiva,入门基础佳品，剩下的自然要靠各位自行深入咯,10分
Richardguo,讲得实在太太太简单了,6分
慕田峪0595917,非常好入门,10分
爱编程的男孩,讲的还可以,如果把windows的安装也讲一遍就好了,10分
夏日柠檬tea,如果有实战的例子就好了,10分
莲花山蹦迪老阿姨,非常好的redis入门课程！,10分
雪莉酱,,6分
仰望天空唱自己喜欢的歌,好,10分
上官二狗,看这个之前  已经看完了  老师的  laravel  实战  老师  讲解的非常的赞   希望老师  可以出一个  redis结合php的实战项目,10分
___C___,还不错,10分
phper_linuxer,,10分
边城__Allen,简单粗暴直接入门~~~,10分
orangewangjie3473319,很好哦,10分
不二之家,讲的听明白的,10分
lxlacie,最近正在使用中，讲解通俗易懂。,10分
Lorem,,10分
小疯丶style,1,10分
阳夕,好,10分
右下角_,,10分
海般深沉,,10分
自由的气息,,10分
一条路唯一,没window下的使用吗，没看懂啊,10分
书旅,老师讲的挺详细的,10分
Julisky,泛泛而谈，感觉连入门也没有,8分
Kinano,非常不错哦,10分
大懒虫不偷懒,,10分
蜂之谷,,10分
快乐的时光,获益匪浅 很好的一门课程,10分
子期不遇,果然是初级，没错,10分
野生码农在线co腚,太基础了,8分
螺里吧所,适合入门,10分
Anna520,6666,10分
慕粉3722952,老师讲的很清晰明了。挺好。哈哈。,10分
慕粉1634303955,,10分
qq_青枣工作室_0,,10分
霜花似雪,,10分
筱少许,老师讲的很好，谢谢。,10分
dada5454,,10分
乱舞的旋律,,10分
Finit,,10分
Zerosoul_Man,,10分
mk7885,通俗易懂，通过学习这个视频，短时间内就可以掌握redis的用法,10分
夜袭开发站,,10分
qq_Glinin_0,,10分
LiuKeqing,看来看去，还是慕课网里的课程最好。简单直接，没有废话，在最短的时间内，传授知识最大化。慕课网里的课程编排，节奏是完全符合视频这种媒介传播知识的。,10分
不惧亢龙,redis基础篇，很好的入门课程,10分
rbc212,,10分
i文Vin,,10分
YibuMe,php 没看，只看redis 的部分,10分
