梦里寒雪0,很不错，继续坚持不放弃,8分
慕勒4402125,很不错，继续坚持不放弃,10分
慕虎3072334,讲的挺好的，课后自己练习后收获挺多的,10分
夜木凝冰,太难了吧，还得看好几遍消化一下,8分
不是很开心,太难了吧，还得看好几遍消化一下,10分
vortesnail,讲的的确不错，但是真的难啊。,10分
逆风枫韵,感谢老师，讲的非常好，受益良多,10分
慕粉1813235204,熟练掌握C++语言基础语法,10分
qq_Mint_7,干货十足 希望多出 相关内容,10分
我们爱了整整一个曾经,思路清晰，言简意赅，希望老师出更多的视频教程。,10分
可乐猫,很有收获，要是有有向图的部分就更完美了,10分
慕粉1411022925,,10分
慕粉1213598641,思路清晰，言简意赅，希望老师出更多的视频教程。,10分
慕的地8223948,感谢老师，讲的非常好，受益良多,10分
去看天荒地老,,10分
kkkimmm,思维缜密，逻辑清晰，非常适合入门,10分
showaichuan,不错,10分
慕粉1617316290,棒棒哒,10分
肖炎,写的很好  全是干货  老师要是能够把有向的图也出一个视频就很完美了,10分
不想取名字哟,,10分
Finit,,10分
Jony_Faker,,8分
Liketoplay,,10分
qq_fewf015,,10分
雪莉酱,,10分
晚唱,期待老师的更多课程！,10分
蜂之谷,,10分
慕gaogao,喜欢james老师,10分
FRISHRIGHT,感谢Jame老师，希望后期更多实践,10分
wx0319,受益匪浅,10分
慕粉1629155817,,10分
江户川秋风,谢谢,10分
MFJ,多谢James，多谢慕课。课程很不错，一路看过来，还是很有收获的。,10分
海般深沉,,10分
_Nullptr,,10分
塔兰图拉,不错的课程，关键是要坚持下来。,10分
qq_狼_63448078,真的不错,10分
qq_乔巴_14064888,非常好的课程，谢谢James老师,10分
鑫_3485970,,10分
zjuPeco,,10分
CrazierChris,,10分
香飘飘丶,,10分
小糊涂_大明白,GOOD,10分
Jathy,,10分
qq_青枣工作室_0,很好，期待更多课程。,10分
唐宗钰,膜拜James老师,10分
小晏,,10分
乱舞的旋律,,8分
Van0512,James老师的树篇和图篇都有一些瑕疵。
感觉是故意的。o(╯□╰)o
期待老师出更深入的课程。,10分
Lavi_La,非常有帮助，谢谢老师。希望老师能够出更多的经典算法的课程,10分
wish_only,好听0.0.。。。。。。。。。。。。。。求更求更,10分
秋日传奇ww,,10分
jk杰杰的鸭子,,10分
Freya0_0,,10分
零韵,晕了...,10分
慕粉3236236,图篇还真的有点晕,10分
KanoWill,图篇真的很有意思啊，在讲各种算法前先听介绍然后自己实现，实现之后发现和老师有异曲同工之妙，每次都很开心,10分
小叶柏杉,老师的每一节课我都学了，这图篇我已经晕掉了！,10分
qq_相伴_0,图 4-2传错了吧？把树传过来了。,10分
qq_水流星_0,视频传的有点乱，重复了。,8分
AAAAAxirzat,精品好课程,10分
不惧亢龙,精品好课程,10分
lykss,支持一下,10分
