奶瓶子儿,讲的非常详细，对数据结构零基础的同学很实用,10分
梦里寒雪0,加油，坚持以较快的速度听下去！,8分
在水一方xym,老师说的很好通俗易懂，感谢老师。这是我整理的代码 https://xiongyiming.blog.csdn.net/article/details/100876332,10分
慕勒4402125,加油，坚持以较快的速度听下去！,10分
慕虎3072334,刚开始听到那个SearchNode时我有点懵，有点怀疑自己的智商，又倒退了看一遍发现原来我没有听错。后来看到最后一节课才发现哦，原来是老师失手了。,10分
夜木凝冰,刚开始听到那个SearchNode时我有点懵，有点怀疑自己的智商，又倒退了看一遍发现原来我没有听错。后来看到最后一节课才发现哦，原来是老师失手了。,8分
不是很开心,数据结构很难，但是老师很细心,10分
vortesnail,搞数据结构搞得非常头疼了，老师的课救了我,10分
逆风枫韵,一边看一边敲，效果才好,10分
weixinapp_方奎_0,自从看了老师通俗易懂的视频，学习起来都不那么累了哈哈哈,10分
慕粉1813235204,字数不得少于10个字,10分
慕妹626757,坦白说我听到SearchNode部分后有点慌，这个是我学的递归吗？？？吓得我赶紧把郝斌的数据结构拿出来看了一些。最后总算弥补过来了。希望老师以后用这种教学方式的时候先打个预防针，不然的话会造成困扰。内容还是很实用的。,8分
weixin_木子_16,讲得很好，如果能有一个讲义，或者设计框图会更好理解,8分
智勇双全的智勇,20190102-20190111下午16：06
终于学完了，感觉开始有点困难了
笔记、代码都做了，但是发现代码会报错
不过先学习着，不断的输入，学习
发现自己真的好帅！,10分
qq_Pigshow_0,讲得比较通俗易懂，而且还教我们怎么逐步完善程序改善程序的方法，受益匪浅！！！,10分
whitefuneral,树的知识很多, 这里只讲解了最基础的二叉数.但老师讲课真的很好,很详细!数据结构是一门非常重要的课, 所以各位慕友们加油!共同进步,10分
我们爱了整整一个曾经,一边看一边敲，效果才好,10分
以太环,讲的不错 但是只是一些基础的东西,10分
lahm,讲到delete好血腥，，，哈哈哈，讲的还是挺好,10分
可乐猫,逻辑清晰，简洁易懂，有点遗憾的是只讲解到了简单二叉树。,10分
风曦,一边看一边敲，效果才好,10分
蜗牛__,,10分
去看天荒地老,,10分
慕的地8223948,逻辑清晰重点分明，感谢老师这么好的课程！,10分
坚持2016,不错,8分
_城,,10分
Dark黑暗,,10分
慕神__007,,8分
qq_MF_6,,10分
showaichuan,不错,10分
外婆的彭湖湾,好评！,10分
小鱼鱼_,没有JAVA的，只能看了C++的，老师讲得挺好，最好遍历的方法能再加上用迭代实现的思路,10分
后苍,很棒的视频啊！！！,10分
qq_智慧树_1,,10分
慕粉1617316290,感谢分享，非常棒,10分
fjfokwiq,,6分
半又生,,10分
进击的单纯,,10分
Finit,,10分
晨曦正好,,10分
不想取名字哟,,10分
甘道夫,,10分
qq_fewf015,,10分
宾丶高,看完了所有数据结构的系列,10分
Mr_Fowl,,10分
黑夜残响,,10分
雪莉酱,,10分
自由的气息,,10分
kira168,感谢James!,10分
dengwenjieyear,讲得好！,10分
晚唱,期待老师的更多课程。,10分
蜂之谷,,10分
wx0319,受益匪浅,10分
小光三号,,10分
慕粉1629155817,,10分
qq_恒,,10分
Timthony,非常好，一天一个专题。,10分
hilbert_drogon,,10分
William_Wayne,,10分
海般深沉,,10分
_Nullptr,,10分
墨池象牙白,谢谢James老师,10分
qq_乔巴_14064888,非常好的课程，谢谢James老师,10分
鑫_3485970,,10分
慕粉3792498,,10分
qq_桐间纱路_0,,8分
眼前的黑不是黑zz,从C++远征系列一路走来，真的感谢james老师.,10分
香飘飘丶,,10分
小糊涂_大明白,GOOD,10分
strawIce,不错~~,10分
Jathy,,10分
NoBB_,,8分
慕粉3475047,,10分
qq_青枣工作室_0,很好，期待更多课程。,10分
Kian_,,10分
_夕晨踏雪,可以的！,10分
Chris_Song,,8分
乱舞的旋律,,10分
Van0512,诶。。。为什么不讲BST？
还有HuffmanTree，或者红黑树？,8分
pjnhlh,非常好，弥补知识盲点。,10分
Lavi_La,跟着学完了，很实用的知识，感谢老师，支持老师,10分
小晏,,10分
Freya0_0,厉害,10分
慕粉粉峰峰,老师讲的很好，谢谢老师了,10分
秋日传奇ww,,10分
wolverine00,啷哩个波,10分
java小天使,,10分
Deny_小田,太棒了！全部满分,10分
YJCN,简洁易懂,10分
温裕,老师讲得真好,10分
慕粉3236236,讲的挺好，容易理解,10分
小叶柏杉,,10分
阳夕,很好,8分
ziom,1.5倍速度看完的,10分
qq_星辰_4,没想象中的那么难。。。。,10分
mz8023yt,非常有价值的课程，期待更多算法，比我们老师讲的好多了,10分
qq_FLIJustLovet_03594117,一直支持！期待！,10分
不惧亢龙,非常有价值的课程，期待更多算法,4分
AAAAAxirzat,好好好,10分
EdgarX,很不错,10分
零韵,,10分
lykss,,10分
局部3618838,,10分
灿烂满天星,不错不错,10分
