奶瓶子儿,通俗易懂，幽默风趣，适合初学者观看,10分
在水一方xym,老师说的很好通俗易懂，感谢老师。这是我整理的代码
https://xiongyiming.blog.csdn.net/article/details/100848417

https://xiongyiming.blog.csdn.net/article/details/100855604,8分
慕勒4402125,很不错，简单易懂，希望下次可以出些练习,10分
慕虎3072334,课程很友好，老师也很有耐心,10分
夜木凝冰,老师讲的很好，例子也很容易理解,8分
不是很开心,课程很友好，老师也很有耐心,10分
逆风枫韵,课程很友好，老师也很有耐心,10分
Carmel_Evans,课程很好, 老师讲解的也都挺到位的, 感谢!,8分
伯庸,很好,老师讲解的清晰易懂!,8分
智勇双全的智勇,181219-181227下午14：29
学习完了这个课程
了解到了数据结构中的线性表，而且通过案例的通讯录知道了这个是用来做什么比较好
视频、笔记、代码全部都解决了，感觉就是为了加深印象也是需要以后不断的温习笔记和代码！
感觉我是特别棒，继续加油努力学习！,8分
whitefuneral,课程很好, 老师讲解的也都挺到位的, 感谢!,8分
weixinapp_叶融哲_0,听下来感觉还是不错的，老师讲的清晰。,10分
Mayby,超级棒 完美的让我了解了数据结构的线性表,10分
qq_帅大爷_0,感觉还可以，就是听着这个音频效果头很疼。你们觉得呢？,6分
刘威葳,超级棒 完美的让我了解了数据结构的线性表,8分
我们爱了整整一个曾经,课程很友好，老师也很有耐心,10分
慕兄7758,10分 老师讲的非常好，生动形象。,8分
梦里寒雪0,10分
老师讲的非常好，生动形象。,10分
可乐猫,老师讲的非常好，生动形象。,10分
qq_执着Paranoid_0,课程很友好，老师也很有耐心,8分
qq_期待明天_0,,4分
weixin_刘杰_5,,10分
去看天荒地老,,10分
tzlUltraGames,老师讲的很好，对新手也很友好，感谢老师！！！,10分
萌新Zeks,从第一节课到现在，希望老师的课能继续更新下去。,10分
慕的地8223948,讲得非常好，谢谢老师,10分
坚持2016,不错,6分
Dark黑暗,,10分
慕神__007,,10分
showaichuan,不错,10分
遥远的遥,代码较多，如果提供源代码就好了，找了好久，才找到错误的地方。,10分
ices_,,10分
慕仔4295924,,10分
慕粉1617316290,不错哇,10分
天空上的太阳,,10分
attrans,不错得课程,10分
半又生,真心点赞,10分
qq_HowHow_0,原来控制台程序，同样可以实现许多GUI的功能。,10分
李磨光,,10分
Finit,,10分
晨曦正好,,10分
不想取名字哟,,10分
qq_fewf015,,10分
C10H16N5O13P3,,10分
雪莉酱,,10分
黑夜残响,,10分
钊兄兄4281648,从C++入门篇一直追到数据结构 james讲的什么生动 希望james能快点多出视频,10分
乔木0416,,10分
格子睿SILVER,,10分
YICONGITSME,,10分
深海花巷,,10分
晚唱,,10分
蜂之谷,,10分
wx0319,受益匪浅,10分
慕粉1629155817,,10分
慕粉1556379847,,10分
Timthony,,10分
qq_恒,,10分
海般深沉,,10分
慕粉3913390,,10分
慕粉1721163728,讲的很棒，很清楚,10分
_Nullptr,,10分
Lawrence,给老师点赞,10分
成长是一种蜕变,james老师的课一如既往的好啊，喜欢~~,10分
qq_乔巴_14064888,C++里的孔子，膜拜,10分
wcw123,,10分
鑫_3485970,,10分
sshx,,10分
zjuPeco,,10分
眼前的黑不是黑zz,看完c++远征系列，看数据结构，很不错啊,10分
慕粉3829398,,10分
香飘飘丶,,10分
小糊涂_大明白,GOOD,10分
lykss,,10分
strawIce,好~~~,10分
Jathy,,10分
NoBB_,,6分
JustChin_340823,,10分
qq_云淡风轻_4,,10分
慕粉4066120,Nice!,10分
neversubmittofate,谢谢老师,10分
babylover,很强,10分
Wizey,看完的第一个数据结构的课程，接下来看队列，感谢老师的课程,10分
Van0512,Who knows what miracles you can achieve ?
When you believe somehow you will.,10分
_夕晨踏雪,真心很不错，赞！！,10分
qq_软肋_43928085,老师讲得通俗易懂，既可以当做预习，又可以当做复习。,8分
Crafon,,10分
Freya0_0,,10分
乱舞的旋律,,10分
Lavi_La,非常感谢老师，老师讲的非常好，记得当初自己学习这部分的时候费了好大劲儿。跟着袁老师又复习了一遍。老师讲几个小时，顶学校的老师讲好几节课。非常感谢老师。,10分
男子鬼魅眼,,10分
小晏,,10分
wolverine00,0.0,10分
时间的力量,,10分
秋日传奇ww,,10分
温裕,老师讲得真好,10分
慕粉3236236,讲的很详细，很棒,10分
胡离,简直找到了福音,10分
ziom,Thx,10分
qq_星辰_4,慢慢学。。,10分
yt641798730,受益良多,8分
qq_高山流水_3,,10分
小叶柏杉,,10分
qq_FLIJustLovet_03594117,谢谢James~~期待继续更新。,8分
xuxinxin,挺好的,10分
零韵,好好好好,10分
AAAAAxirzat,好好好好好,10分
灿烂满天星,个人觉得在顺序表的插入程序中应该还要判断顺序表是否已满，也就是判断p_iLength和p_iSize的关系，如果顺序表已满，是不能实现插入的，但是这一点在讲课时没有判断,10分
慕粉3409420,挺适合自学的人的，讲的不错,10分
阳夕,好好好好~~~,10分
不惧亢龙,怎么感觉都是数组，队列是，栈是，链表也有，艾玛,10分
Deny_小田,谢谢James为我们推出的这些课程！都很好！一颗赛艇！,10分
XUEZHONGNI,谢谢James，期待继续更新。,10分
我呵呵了,讲得太好了，支持老师,10分
珠峰长啸,老师讲的非常棒！,10分
